,f11_mse
203,0.08132753028943614
204,0.08519488129252097
205,0.08841924935515341
206,0.10166480812741106
207,0.11602636426403422
208,0.1646149196555888
209,0.12728168331072898
210,0.11868082640468074
211,0.12233420764935905
212,0.11832565976620034
213,0.2373314688473007
214,0.07761966483276843
215,0.1422872372640437
216,0.1010652655909202
217,0.11688790002110917
218,0.12949819762609352
219,0.12395286645600252
220,0.11604295329969423
221,0.1255931786756512
222,0.2433313774011736
223,0.24337351171067964
224,0.12483657083464897
225,0.11752618673179815
226,0.085712402846544
227,0.07634549748608155
228,0.161555278390588
229,0.07779784254656194
230,0.07548746577742654
231,0.1632604368202885
232,0.1309238942191213
233,0.09708869898109539
234,0.10191916373218085
235,0.11388070010663436
236,0.157866123756146
237,0.11614543397249055
238,0.17610925590189497
239,0.17466848768320747
240,0.08171053635380471
241,0.13952785491139083
242,0.08306580291802446
243,0.1097907966530597
244,0.13447591948907078
245,0.09834335076723158
246,0.09545750757120744
247,0.12632463118827872
248,0.11200025103711977
249,0.10485805598117875
250,0.10585190605448538
251,0.0760526964467344
252,0.09654538811629881
253,0.10100448156467791
254,0.12179832085115988
255,0.0999641969226966
256,0.1035225279765605
257,0.1471301708415547
258,0.12186409458170189
259,0.10316488367295225
260,0.13095301446993654
261,0.11442740834210455
262,0.09137372827370858
263,0.11602614703983125
264,0.0762440718379489
265,0.12511735325341758
266,0.12508618551841436
267,0.14656447551407153
268,0.18122802888881992
269,0.12036265876934743
270,0.11523633117898656
271,0.12060054054269374
272,0.2138114626925282
273,0.198603867629924
274,0.1976419234723005
275,0.1014009783836693
276,0.1119904604342538
277,0.11039264636285338
278,0.10678611613593024
279,0.1418788929997373
280,0.11469948130589576
281,0.17023997191697027
282,0.11603899448204234
283,0.09084554972627942
284,0.08923687796937674
285,0.12421848899131803
286,0.0834102344936509
287,0.11603075519561012
288,0.13021977268655374
289,0.11998052097796548
290,0.19289951909491596
291,0.09681332552281273
292,0.16196817763954285
293,0.10939337002141282
294,0.08657508683997127
295,0.10666041589760933
296,0.0876455037314879
297,0.09353222578076993
298,0.09452660037688278
299,0.13137546708598258
300,0.13693268684736348
301,0.10705570542425649
302,0.10448769534392506
303,0.11288967022366118
304,0.14580931664858188
305,0.08378467121267424
306,0.19882237587515095
307,0.13666810581559596
308,0.15517208549541397
309,0.07702213463070223
310,0.0872988016602683
311,0.10394754740203145
312,0.11286363016722228
313,0.15898555847087717
314,0.09420483417403397
315,0.10982661580500895
316,0.07619076480401732
317,0.19333053069656098
318,0.08785666149113482
319,0.08348509796627208
320,0.09013846391351098
321,0.10133103714039046
322,0.10674769169371923
323,0.09123958688477454
324,0.08656268333198426
325,0.10705633673060176
326,0.11089485552319876
327,0.1214657742567868
328,0.08604450159575772
329,0.11824110120768587
330,0.09028730784386305
331,0.110411298571952
332,0.11611479174723889
333,0.1162051015958537
334,0.13152651499050527
335,0.1307495440428009
336,0.09388970612970146
337,0.11140389696536133
338,0.10542887522368175
339,0.2130149661380837
340,0.07627516960251332
341,0.09760113215438089
342,0.13063477869654294
343,0.13613923341316078
344,0.11407757698618813
345,0.12476755380948691
346,0.14549984928422796
347,0.11916952690939951
348,0.14993058371874476
349,0.11306733187786364
350,0.07714962566085302
351,0.11608719018483678
352,0.1473635120844325
353,0.11459076399878211
354,0.10597428027951881
355,0.08798669697253483
356,0.12656068150794667
357,0.1450749301143552
358,0.09127147523278893
359,0.11653312777729873
360,0.1034324308964641
361,0.12962096369927786
362,0.11572807207412196
363,0.11209181631281263
364,0.09216769803926465
365,0.07853083984900766
366,0.09198918801142146
367,0.09863099194932988
