loss,loss_q0,loss_q2,mse,mse_q0,mse_q2,step
0.10524538683015308,0.20895587959419898,0.001534894066106062,0.10524538683015308,0.20895587959419898,0.001534894066106062,5600
0.11253587907228213,0.22344673452246963,0.0016250236220948842,0.11253587907228213,0.22344673452246963,0.0016250236220948842,5800
0.10826157406876856,0.2149884967012325,0.0015346514363045545,0.10826157406876856,0.2149884967012325,0.0015346514363045545,6000
0.10861221057356313,0.21558453742600975,0.0016398837211163485,0.10861221057356313,0.21558453742600975,0.0016398837211163485,6200
0.10683157015654413,0.21216817806567975,0.0014949622474086902,0.10683157015654413,0.21216817806567975,0.0014949622474086902,6400
0.11323056061860562,0.22498065762501215,0.00148046361219895,0.11323056061860562,0.22498065762501215,0.00148046361219895,6600
0.104614938178143,0.20764052905794303,0.0015893472983443634,0.104614938178143,0.20764052905794303,0.0015893472983443634,6800
0.10167602215851379,0.20197362169716523,0.0013784226198622488,0.10167602215851379,0.20197362169716523,0.0013784226198622488,7000
0.1051614151893302,0.2087781314654276,0.0015446989132324208,0.1051614151893302,0.2087781314654276,0.0015446989132324208,7200
0.11018544454699454,0.2187856850465765,0.0015852040474128473,0.11018544454699454,0.2187856850465765,0.0015852040474128473,7400
0.10797409841750025,0.21456993076950276,0.001378266065497885,0.10797409841750025,0.21456993076950276,0.001378266065497885,7600
0.1155499356425856,0.22941307130362823,0.0016867999815440304,0.1155499356425856,0.22941307130362823,0.0016867999815440304,7800
0.1094626595959562,0.21744346805382517,0.0014818511380872217,0.1094626595959562,0.21744346805382517,0.0014818511380872217,8000
0.11279719338904386,0.2240191912911834,0.001575195486904701,0.11279719338904386,0.2240191912911834,0.001575195486904701,8200
0.11546442514037322,0.22931212726887323,0.0016167230118735484,0.11546442514037322,0.22931212726887323,0.0016167230118735484,8400
0.10573833640844478,0.20979973675031208,0.0016769360665784894,0.10573833640844478,0.20979973675031208,0.0016769360665784894,8600
0.10592456495314416,0.21045170196704557,0.0013974279392423307,0.10592456495314416,0.21045170196704557,0.0013974279392423307,8800
0.10858573628850696,0.21552252053376303,0.0016489520432514842,0.10858573628850696,0.21552252053376303,0.0016489520432514842,9000
0.1067053812820959,0.21185779433231802,0.0015529682318738156,0.1067053812820959,0.21185779433231802,0.0015529682318738156,9200
0.10591044850330958,0.21036309794243435,0.0014577990641846544,0.10591044850330958,0.21036309794243435,0.0014577990641846544,9400
0.10979766400194772,0.2179254139503463,0.001669914053549291,0.10979766400194772,0.2179254139503463,0.001669914053549291,9600
0.10556342998254693,0.2097296014400196,0.0013972585250739949,0.10556342998254693,0.2097296014400196,0.0013972585250739949,9800
0.10784093684607052,0.213923566077836,0.0017583076143055242,0.10784093684607052,0.213923566077836,0.0017583076143055242,10000
